num,links
71,http://www.mycareersfuture.sg/job/senior-manager-program-management-lazada-south-east-asia-929941a263560d5a701f8a27f8fd503c
72,http://www.mycareersfuture.sg/job/senior-business-analyst-cargill-asia-pacific-holdings-a32f1ad654d2fcad67c2251d44ffaab3
73,http://www.mycareersfuture.sg/job/self-service-analytics-coach-cargill-asia-pacific-holdings-448e9b5233cc02c464a052adea117da0
74,http://www.mycareersfuture.sg/job/manager-assistant-director-workforce-planning-analytics-nanyang-technological-university-6bd77de4e836c17a3dab7a5fd183dbce
75,http://www.mycareersfuture.sg/job/business-analyst-titansoft-61c0ed8622f2122e3bece1140523427c
76,http://www.mycareersfuture.sg/job/senior-ux-researcher-titansoft-6f8f6e8edbca4ca937ceb16f18379a57
77,http://www.mycareersfuture.sg/job/associate-projects-operations-mizuho-bank-2b14ea0f671e416b52154e093aba2b5a
78,http://www.mycareersfuture.sg/job/avp-scrum-master-investment-trading-technology-technology-operations-dbs-bank-4ecaf11e85a7f9af79ef3baadbec6011
79,http://www.mycareersfuture.sg/job/vp-scrum-master-investment-trading-technology-technology-operations-dbs-bank-0eaaf2151948d1764f2728aefa692dc5
80,http://www.mycareersfuture.sg/job/product-strategist-grabtaxi-holdings-3fea9329bcbdd214e38a336015b18f25
81,http://www.mycareersfuture.sg/job/tech-lead-equatorial-marine-fuel-management-services-e32df1f1ee9f75cc952fba9663eb3051
82,http://www.mycareersfuture.sg/job/assistant-director-manager-2-year-contract-judiciary-supreme-court-5d282526496039df982f6fc54a6eacb4
83,http://www.mycareersfuture.sg/job/test-manager-banking-optimum-solutions-065aed30605e2a8d54fcef9eda235550
84,http://www.mycareersfuture.sg/job/inapp-publisher-partnership-manager-criteo-singapore-7957d0676ad3f52038e057b7a4d1445d
85,http://www.mycareersfuture.sg/job/hr-executive-b-h-s-kinetic-993f3690c2c6171af145a8f8858bbf6b
86,http://www.mycareersfuture.sg/job/avp-credit-risk-business-analyst-middle-office-technology-technology-operations-dbs-bank-130653f80f9cc93f72f63da58dd9c90e
87,http://www.mycareersfuture.sg/job/sales-support-administrator-es-recruitment-4598b5633e5458adc7c40cf8b9d1299e
88,http://www.mycareersfuture.sg/job/head-e-commerce-zimplistic-be601da4e76aa7bb4ffccd17c05f74e9
89,http://www.mycareersfuture.sg/job/business-analyst-scor-services-asia-pacific-f0fab9c626721adf30eab0b18b9afd65
90,http://www.mycareersfuture.sg/job/hr-executive-four-seasons-durians-6f48b3d97a3c52bae07f7aa6b5681e0c
91,http://www.mycareersfuture.sg/job/manager-senior-manager-assistant-director-ministry-communications-information-2ffb1902ae95533bd6524fb96cecf16c
92,http://www.mycareersfuture.sg/job/senior-network-engineer-manager-nityo-infotech-services-aa56cc66105c2be98c4d21b2d238417f
93,http://www.mycareersfuture.sg/job/senior-executive-finance-nanyang-technological-university-b54ace87fca3e1ce071cbda7c99feaed
94,http://www.mycareersfuture.sg/job/institutional-equity-cash-sales-analyst-singapore-morgan-stanley-asia-securities-3990cde7fa6112bd4a1787e64874d818
95,http://www.mycareersfuture.sg/job/senior-mainframe-developer-alltech-systems-1c5a1b4f4d8bdd6aed7a6d3efed3d572
